feature,importance,exercise
left_pinky_mean_x,0.2021178125592657,E4
left_index_var_y,0.19885487603346733,E4
left_pinky_mean_y,0.19271040670970452,E4
left_thumb_mean_x,0.19141661674923652,E4
left_elbow_var_x,0.18997035070645188,E4
left_foot_index_mean_y,0.1682271361467776,E4
right_foot_index_mean_x,0.16096015358949822,E4
left_thumb_var_x,0.1590674939170245,E4
right_wrist_mean_y,0.15791944215746845,E4
right_hip_var_x,0.15670327981265553,E4
left_elbow_var_y,0.15439180815457332,E4
right_shoulder_var_y,0.15284107590689877,E4
right_wrist_mean_x,0.15276778458922657,E4
right_thumb_mean_y,0.15103273542454682,E4
right_index_var_y,0.14883238983458114,E4
left_shoulder_var_x,0.14503727425565366,E4
left_knee_var_x,0.14237635656840683,E4
right_thumb_var_x,0.14073861801606735,E4
left_wrist_mean_x,0.13484898392743166,E4
left_wrist_var_x,0.12988869986042137,E4
right_ankle_var_x,0.12936946330394794,E4
right_index_mean_y,0.12929468661873272,E4
right_pinky_var_x,0.12865168695728285,E4
right_pinky_mean_y,0.12727129705370893,E4
right_elbow_var_x,0.12653196575271936,E4
right_foot_index_mean_y,0.12414743374395837,E4
right_heel_var_x,0.12032313351583213,E4
right_elbow_var_y,0.11949570931817227,E4
left_elbow_mean_y,0.11549716876256899,E4
right_shoulder_mean_x,0.1123834063685332,E4
right_hip_var_y,0.11185251575279909,E4
left_pinky_var_y,0.11093687993447754,E4
left_index_var_x,0.10684942065621,E4
left_thumb_mean_y,0.10574974956039207,E4
right_elbow_mean_y,0.10043368142777818,E4
right_thumb_mean_x,0.09293252806200014,E4
left_shoulder_mean_y,0.09110245185744975,E4
left_hip_var_x,0.08892635047518971,E4
left_foot_index_mean_x,0.0776557819176365,E4
right_knee_var_y,0.07756502894174779,E4
right_pinky_mean_x,0.07740942649000804,E4
left_heel_mean_x,0.0737587333525937,E4
left_wrist_mean_y,0.07370355076374113,E4
left_knee_mean_y,0.07282449021307194,E4
left_ear_var_y,0.06927622755186003,E4
right_ear_var_x,0.06874255557585104,E4
mouth_right_var_y,0.06536200049129104,E4
left_ankle_var_y,0.0649835824958368,E4
right_shoulder_mean_y,0.06464458489313883,E4
left_heel_var_x,0.06430720828221034,E4
right_shoulder_var_x,0.06287895101690974,E4
mouth_right_var_x,0.06286430844913093,E4
right_wrist_var_x,0.06229990424639435,E4
left_shoulder_mean_x,0.06214199668720924,E4
nose_mean_x,0.05919113542598875,E4
left_ear_var_x,0.05321639590071527,E4
nose_var_y,0.0531101843288056,E4
right_hip_mean_x,0.052694334316704006,E4
left_eye_inner_mean_x,0.0522272497290488,E4
left_hip_mean_x,0.05200650299554335,E4
right_knee_var_x,0.051262873199078546,E4
left_ankle_mean_x,0.050051360013288415,E4
left_eye_outer_mean_x,0.04892931830712105,E4
